1,MRS,User 1,1991-07-01 00:00:00,0
2,MR,User 2,1996-10-01 00:00:00,0
3,MRS,User 3,1997-09-01 00:00:00,1
4,MR,User 4,1986-02-01 00:00:00,0
5,MRS,User 5,2009-02-01 00:00:00,0
6,MR,User 6,1991-12-01 00:00:00,1
7,MRS,User 7,2004-02-01 00:00:00,0
8,MR,User 8,1991-04-01 00:00:00,0
9,MRS,User 9,1973-11-01 00:00:00,1
10,MR,User 10,2008-11-01 00:00:00,0
11,MRS,User 11,1985-11-01 00:00:00,0
12,MR,User 12,1974-05-01 00:00:00,1
13,MRS,User 13,1985-09-01 00:00:00,0
14,MR,User 14,1993-08-01 00:00:00,0
15,MRS,User 15,1999-04-01 00:00:00,1
16,MR,User 16,2003-09-01 00:00:00,0
17,MRS,User 17,2008-10-01 00:00:00,0
18,MR,User 18,1979-05-01 00:00:00,1
19,MRS,User 19,1983-08-01 00:00:00,0
20,MR,User 20,2010-02-01 00:00:00,0
21,MRS,User 21,2004-05-01 00:00:00,1
22,MR,User 22,1979-12-01 00:00:00,0
23,MRS,User 23,1999-08-01 00:00:00,0
24,MR,User 24,2004-11-01 00:00:00,1
25,MRS,User 25,1971-12-01 00:00:00,0
26,MR,User 26,2000-01-01 00:00:00,0
27,MRS,User 27,1989-04-01 00:00:00,1
28,MR,User 28,1976-03-01 00:00:00,0
29,MRS,User 29,1984-09-01 00:00:00,0
30,MR,User 30,1983-03-01 00:00:00,1
31,MRS,User 31,1991-10-01 00:00:00,0
32,MR,User 32,1997-05-01 00:00:00,0
33,MRS,User 33,1999-09-01 00:00:00,1
34,MR,User 34,1994-07-01 00:00:00,0
35,MRS,User 35,2003-09-01 00:00:00,0
36,MR,User 36,1981-03-01 00:00:00,1
37,MRS,User 37,2008-05-01 00:00:00,0
38,MR,User 38,2002-12-01 00:00:00,0
39,MRS,User 39,1977-11-01 00:00:00,1
40,MR,User 40,1993-09-01 00:00:00,0
41,MRS,User 41,1981-08-01 00:00:00,0
42,MR,User 42,1998-07-01 00:00:00,1
43,MRS,User 43,1994-06-01 00:00:00,0
44,MR,User 44,2006-06-01 00:00:00,0
45,MRS,User 45,1995-07-01 00:00:00,1
46,MR,User 46,1988-03-01 00:00:00,0
47,MRS,User 47,1984-05-01 00:00:00,0
48,MR,User 48,1987-03-01 00:00:00,1
49,MRS,User 49,1970-11-01 00:00:00,0
50,MR,User 50,2006-03-01 00:00:00,0
51,MRS,User 51,1981-07-01 00:00:00,1
52,MR,User 52,2002-05-01 00:00:00,0
53,MRS,User 53,1971-12-01 00:00:00,0
54,MR,User 54,2007-08-01 00:00:00,1
55,MRS,User 55,1985-07-01 00:00:00,0
56,MR,User 56,1976-02-01 00:00:00,0
57,MRS,User 57,1995-09-01 00:00:00,1
58,MR,User 58,1996-11-01 00:00:00,0
59,MRS,User 59,1985-03-01 00:00:00,0
60,MR,User 60,2007-02-01 00:00:00,1
61,MRS,User 61,1984-10-01 00:00:00,0
62,MR,User 62,1974-02-01 00:00:00,0
63,MRS,User 63,1987-10-01 00:00:00,1
64,MR,User 64,2004-11-01 00:00:00,0
65,MRS,User 65,2007-07-01 00:00:00,0
66,MR,User 66,2011-03-01 00:00:00,1
67,MRS,User 67,1980-01-01 00:00:00,0
68,MR,User 68,1979-10-01 00:00:00,0
69,MRS,User 69,1988-08-01 00:00:00,1
70,MR,User 70,1992-02-01 00:00:00,0
